ISO,Migrant remittance inflows (US$ million),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020e,Remittances as a share of GDP in 2020e (%)
IDN,Indonesia,,,, 10 , 53 , 61 , 71 , 86 , 99 , 167 ,166,130,229,346,449,651,796,725,958,"1,109","1,190","1,046","1,259","1,489","1,866","5,420","5,722","6,174","6,794","6,793","6,916","6,924","7,212","7,614","8,551","9,659","8,907","8,990","11,215","11,666","9,651",0.9%
IRN,"Iran, Islamic Rep.",,,,,,,,,,,,"1,200","1,196","1,500","1,200","1,600",658,400,680,508,536,682,851,"1,178","1,032","1,032","1,032","1,115","1,115","1,072","1,181","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330",0.2%
IRQ,Iraq,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,389,3,71,152,177,223,271,727,729,"1,005",986,"1,089",742,859,717,0.4%
IRL,Ireland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,539,589,633,573,658,756,695,722,726,604,575,597,624,587,368,0.1%
ISR,Israel, 421 , 532 , 281 , 243 , 253 , 209 , 449 , 614 , 542 , 784 ,812,877,"1,161","1,264","1,605","2,102","2,078","2,171","2,311","2,738","2,952","3,393","3,395","3,132","3,355","3,736","3,680","4,402","4,536","4,619","4,740","5,074","4,680","5,688","6,185","5,890","6,363","6,194","5,915","6,187","6,106",1.5%
ITA,Italy," 4,013 "," 3,533 "," 3,533 "," 3,389 "," 3,274 "," 3,237 "," 4,397 "," 4,462 "," 4,826 "," 5,076 ","5,025","3,615","2,923","2,611","2,362","2,281","2,526","2,207","2,054","1,879","1,790","1,932","2,273","3,023","3,689","4,092","4,076","4,595","7,355","7,041","7,975","8,731","9,166","9,436","10,099","9,609","9,514","9,742","9,900","10,459","9,711",0.5%
JAM,Jamaica, 96 , 107 , 111 , 84 , 74 , 146 , 112 , 121 , 154 , 208 ,229,181,216,239,507,639,690,715,742,775,878,"1,047","1,242","1,380","1,601","1,762","1,924","2,122","2,157","1,889","2,026","2,106","2,168","2,172","2,269","2,361","2,433","2,463","2,502","2,563","2,956",21.2%
JPN,Japan, 140 , 190 , 210 , 180 , 210 ,,,,,,0,0,0,0,0,0,500,615,554,566,773,"1,250","1,127",811,774,905,"1,177","1,384","1,732","1,595","1,684","2,132","2,540","2,364","3,734","3,325","3,830","4,443","4,369","4,374","4,875",0.1%
JOR,Jordan, 794 ," 1,030 "," 1,080 "," 1,110 "," 1,240 "," 1,020 "," 1,180 ", 938 , 895 , 627 ,499,448,844,"1,040","1,094","1,244","1,544","1,655","1,543","1,664","1,845","2,011","2,135","2,201","2,287","2,421","2,794","3,326","3,510","3,465","3,623","3,684","3,848","5,343","6,370","5,348","4,375","4,432","4,472","4,389","3,901",9.0%
KAZ,Kazakhstan,,,,,,,,,,,0,0,0,0,0,0,1,1,6,4,68,85,111,42,57,62,84,143,126,198,226,180,283,341,401,294,384,560,618,506,374,0.2%
KEN,Kenya, 13 , 7 , 7 , 6 , 6 , 6 , 10 , 11 , 12 , 11 ,0,0,0,0,71,87,88,507,532,585,0,51,57,66,376,425,570,645,667,631,686,934,"1,211","1,304","1,441","1,569","1,745","1,962","2,720","2,838","3,100",3.1%
KIR,Kiribati,,,,,,,,,,,5,6,6,6,7,0,0,0,0,0,0,0,0,0,0,0,13,14,14,14,16,17,18,17,16,14,16,18,20,20,19,9.5%
KOR,"Korea, Rep.", 563 , 690 , 784 , 921 , 946 ," 1,158 "," 1,738 "," 2,075 "," 2,510 "," 2,187 ","2,245","2,489","2,686","2,633","2,758","3,295","3,373","3,907","4,970","4,346","4,524","4,516","5,135","5,875","5,935","5,200","4,850","5,155","6,978","6,000","5,854","6,602","6,589","6,475","6,574","6,464","6,524","6,526","7,125","7,166","7,413",0.5%
UVK,Kosovo,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,702,771,920,"1,047","1,056","1,007",993,946,"1,058","1,099",971,986,"1,112","1,236","1,249","1,436",18.4%
KWT,Kuwait,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,4,4,34,4,23,28,26,22,0.0%
KGZ,Kyrgyz Republic,,,,,,,,,,,0,0,0,2,1,1,2,3,2,1,2,5,30,70,179,313,473,704,"1,223",982,"1,266","1,709","2,031","2,278","2,243","1,688","1,995","2,486","2,689","2,411","2,200",29.4%
LAO,Lao PDR,,,,, 3 , 4 , 4 , 4 , 7 , 8 ,0,0,2,3,1,0,1,1,1,1,1,1,1,1,1,1,4,6,18,38,42,110,203,170,188,189,189,243,240,297,265,1.4%
LVA,Latvia,,,,,,,,,,,0,0,0,0,0,0,41,46,49,49,252,274,113,158,219,379,480,550,"1,920","1,587","1,257","1,506","1,499","1,604","1,553","1,336","1,235","1,274","1,237","1,143","1,088",3.3%
LBN,Lebanon,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"2,544","4,743","5,591","4,924","5,202","5,769","7,181","7,558","6,914","6,878","6,671","7,567","7,191","7,481","7,606","7,062","6,978","7,410","6,298",32.9%
LSO,Lesotho, 263 , 291 , 348 , 378 , 323 , 224 , 255 , 353 , 372 , 365 ,999,"1,022","1,121","1,037","1,133","1,086",931,874,631,525,478,401,389,557,627,599,614,638,576,548,610,649,555,463,393,371,454,550,544,495,427,20.6%
LBR,Liberia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,32,79,62,58,25,294,523,547,413,512,654,580,403,460,346,333,11.0%
LTU,Lithuania,,,,,,,,,,,0,0,0,0,1,1,3,3,3,3,50,79,109,115,578,745,994,"1,433","1,565","1,240","1,673","1,955","1,507","2,060","2,113","1,373","1,280","1,303","1,387","1,304",791,1.4%
LUX,Luxembourg,,,,,,,,,,,0,0,0,0,0,0,0,0,0,652,579,577,771,977,"1,112","1,189","1,294","1,479","1,662","1,676","1,670","1,811","1,718","1,922","1,859","1,653","1,717","1,883","2,063","2,006","2,138",2.9%
MAC,Macao SAR,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,47,48,53,53,55,54,52,48,47,48,47,49,37,40,28,25,23,22,22,0.1%
MDG,Madagascar, 0 , 0 , 0 , 0 , 6 , 5 , 6 , 5 , 4 , 10 ,4,9,12,12,11,9,6,12,11,12,11,11,29,16,12,102,150,254,314,284,456,335,330,358,344,327,299,343,426,408,392,2.8%
