ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHN,China,12.05%,11.79%,9.74%,8.79%,9.25%,10.63%,9.96%,10.45%,11.82%,12.16%,12.40%,13.98%,15.04%,15.76%,15.93%,17.04%,16.51%,16.35%,14.68%,14.69%,17.41%,16.19%,17.28%,20.06%,23.13%,24.62%,25.47%,26.30%,27.16%,21.30%,24.91%,26.17%,24.53%,23.76%,23.21%,20.95%,19.35%,20.59%,20.73%,18.67%,17.88%
COL,Colombia,11.57%,9.31%,9.01%,7.55%,7.14%,6.83%,7.47%,7.05%,7.14%,7.15%,7.34%,7.03%,8.24%,8.05%,9.26%,10.21%,9.80%,10.29%,9.77%,8.68%,9.26%,8.82%,8.43%,8.76%,10.25%,12.01%,13.07%,14.88%,17.49%,13.71%,16.17%,19.73%,20.66%,19.54%,18.84%,14.43%,11.83%,12.34%,12.96%,12.04%,10.44%
COM,Comoros,15.10%,21.54%,12.74%,11.38%,10.67%,10.08%,12.16%,15.45%,14.21%,15.10%,14.83%,20.53%,18.31%,15.34%,10.18%,18.43%,18.70%,18.44%,18.13%,8.09%,8.29%,11.62%,10.68%,13.14%,12.62%,11.77%,15.87%,15.62%,21.92%,15.55%,19.02%,18.18%,20.19%,14.70%,15.10%,22.55%,25.38%,17.57%,23.87%,13.74%,11.65%
COD,Democratic Republic of the Congo,18.43%,14.30%,10.99%,10.00%,10.74%,10.13%,10.50%,11.74%,13.19%,10.10%,11.77%,8.66%,7.54%,7.30%,9.52%,11.56%,11.31%,9.72%,8.36%,7.92%,8.92%,8.65%,10.29%,8.71%,10.04%,11.39%,12.68%,14.64%,21.58%,16.09%,23.60%,28.36%,29.35%,27.72%,24.13%,18.49%,14.42%,15.02%,20.23%,16.22%,19.44%
COG,Republic of Congo,45.33%,51.90%,57.03%,43.68%,44.14%,38.63%,29.47%,30.27%,24.25%,22.41%,23.46%,21.33%,23.90%,17.54%,19.64%,23.05%,31.28%,29.57%,21.70%,20.80%,29.94%,28.77%,25.70%,29.50%,39.78%,50.31%,65.74%,72.66%,89.80%,54.72%,63.90%,71.71%,56.57%,58.19%,62.53%,54.84%,55.62%,47.44%,67.80%,63.06%,49.55%
CRI,Costa Rica,31.00%,25.15%,21.86%,22.50%,21.51%,21.20%,22.23%,23.25%,23.80%,25.78%,26.64%,27.48%,29.52%,29.45%,32.17%,31.49%,32.17%,34.19%,38.34%,45.07%,42.69%,37.41%,43.22%,47.38%,48.54%,49.49%,52.60%,52.29%,54.75%,51.80%,64.61%,70.44%,75.24%,71.84%,61.59%,31.81%,28.94%,27.98%,27.92%,26.38%,27.52%
CIV,Côte d'Ivoire,27.48%,21.32%,16.86%,14.79%,16.71%,16.81%,17.28%,16.62%,14.87%,13.89%,14.94%,14.57%,15.09%,13.13%,13.71%,17.38%,16.87%,14.87%,15.61%,14.24%,13.65%,11.64%,13.50%,14.37%,15.79%,16.65%,17.59%,19.94%,23.46%,20.03%,22.82%,24.25%,24.24%,24.79%,21.98%,18.65%,17.70%,18.76%,18.23%,16.94%,16.65%
HRV,Croatia,,,,,,,,,,,,,,19.41%,23.52%,26.32%,25.00%,23.70%,22.33%,19.61%,18.33%,19.77%,22.36%,26.08%,31.18%,31.26%,34.91%,39.45%,44.59%,33.64%,35.29%,39.58%,34.93%,35.09%,37.03%,33.53%,32.98%,36.20%,39.50%,38.10%,37.97%
CYP,Cyprus,65.05%,57.05%,52.01%,46.94%,48.40%,43.37%,41.47%,47.65%,47.32%,54.56%,50.74%,53.70%,57.37%,52.16%,48.95%,50.97%,42.69%,40.11%,44.48%,39.66%,51.75%,47.46%,48.52%,66.86%,75.48%,74.13%,90.39%,86.62%,82.51%,60.31%,64.41%,72.45%,75.48%,74.87%,63.36%,50.11%,40.95%,46.17%,51.16%,43.61%,37.89%
CZE,Czech Republic,,,,,,,,,,,,,,,,29.24%,29.98%,30.57%,32.87%,32.53%,34.48%,36.50%,40.16%,48.78%,55.55%,59.92%,67.93%,81.02%,91.70%,73.73%,84.41%,97.97%,93.04%,91.20%,92.24%,79.76%,77.30%,80.00%,84.80%,79.35%,78.48%
DNK,Denmark,47.86%,42.19%,37.18%,35.07%,33.39%,32.71%,38.58%,43.34%,45.20%,44.52%,50.59%,49.58%,51.49%,41.87%,44.92%,58.57%,56.26%,52.76%,51.06%,50.68%,49.13%,47.52%,51.17%,59.07%,66.30%,70.55%,74.72%,79.42%,89.50%,72.33%,73.62%,83.00%,77.99%,76.76%,76.53%,63.67%,58.95%,60.08%,63.93%,59.04%,59.07%
DJI,Djibouti,,,,,,,,,,,,28.37%,30.81%,33.08%,29.60%,30.52%,28.18%,29.04%,39.32%,42.13%,61.18%,64.94%,57.72%,70.25%,72.09%,90.06%,100.80%,110.73%,138.29%,101.02%,108.44%,135.82%,151.36%,134.59%,128.85%,119.43%,119.97%,120.34%,105.97%,116.48%,111.71%
DMA,Dominica,50.36%,46.82%,43.61%,43.80%,51.63%,45.08%,41.04%,55.23%,97.13%,88.21%,81.97%,95.08%,89.82%,82.15%,93.18%,83.72%,71.13%,70.36%,69.20%,69.38%,70.47%,64.89%,53.72%,49.10%,50.83%,58.96%,59.92%,65.99%,113.66%,71.59%,86.99%,83.69%,85.05%,79.56%,80.21%,79.35%,72.20%,86.80%,97.55%,71.00%,36.34%
DOM,Dominican Republic,20.56%,18.71%,14.65%,13.91%,14.68%,14.25%,14.66%,15.02%,17.28%,18.70%,19.26%,19.49%,20.49%,20.89%,22.80%,22.40%,22.60%,24.34%,23.69%,21.78%,23.86%,20.94%,20.85%,19.62%,20.85%,20.63%,20.46%,20.78%,21.47%,15.81%,17.87%,19.12%,18.88%,18.27%,18.02%,15.45%,14.91%,14.32%,14.55%,14.31%,13.61%
ECU,Ecuador,17.45%,17.46%,15.46%,12.82%,12.95%,14.06%,11.76%,10.93%,10.36%,10.22%,10.23%,11.82%,11.96%,11.61%,14.11%,15.34%,14.26%,15.13%,14.04%,11.91%,13.24%,14.40%,14.21%,14.48%,16.82%,19.77%,22.08%,22.96%,30.04%,22.18%,27.02%,29.27%,30.36%,29.10%,27.65%,21.71%,17.84%,19.68%,21.76%,21.58%,19.65%
EGY,Egypt,17.44%,17.31%,15.30%,13.66%,13.00%,11.41%,8.42%,8.27%,7.54%,7.27%,7.95%,7.31%,7.78%,7.28%,7.20%,7.63%,7.75%,7.72%,7.02%,6.55%,6.36%,5.83%,5.49%,5.92%,7.21%,8.04%,9.19%,10.72%,12.88%,10.15%,11.35%,11.97%,11.22%,10.34%,11.39%,9.27%,9.03%,9.69%,9.77%,9.19%,8.00%
