ISO,Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DMA,Dominica,151,167,178,192,201,219,239,267,277,303,317,331,346,354,372,391,406,426,434,454,464,458,496,525,544,587,641,700,697,710,723,706,726,781,793,851,811,835,915,829
DOM,Dominican Republic,15689,16942,18420,19324,19512,20606,23252,24591,26679,26168,27309,31065,34143,35779,38606,41663,46147,49800,53520,57267,59963,63649,63959,67369,76017,85502,94310,99230,100933,110625,116474,118183,125424,136976,151560,167506,175941,192745,206098,194555
ECU,Ecuador,29653,31863,32184,34745,37421,39356,37921,43375,45203,48306,52493,55630,58087,61853,64573,66894,70992,74137,71643,74044,78706,83227,87081,96768,105062,113008,118585,128577,130291,136456,150267,159560,175196,186847,179310,181967,195011,202268,205903,192770
EGY,Egypt,99149,112956,127799,143031,158511,169398,181005,194872,208572,221462,233760,239805,252606,268804,286746,306242,329962,358845,386268,416161,440276,461488,485069,518512,558570,614860,676128,738606,779019,828662,860900,958660,992022,985262,1064240,1057090,1062270,1145580,1230830,1290220
SLV,El Salvador,10441,10387,10959,11506,11944,12207,12823,13525,14190,15433,16194,17726,19201,20531,21954,22538,23646,24546,25440,26301,27114,27977,28943,29986,31758,34140,35709,37179,36681,37889,40156,40804,43093,45534,48056,51095,54006,56647,59031,54621
GNQ,Equatorial Guinea,104,113,123,129,150,149,160,170,174,185,189,257,291,347,448,697,1758,2219,2846,6124,10015,12169,14187,18996,21196,23257,27532,33063,33763,31108,33830,38743,37423,37816,28095,24861,28459,27290,26232,25015
ERI,Eritrea,,,,,,,,,,,,1696,1960,2420,2528,2810,3084,3180,3232,2896,3219,3368,3339,3479,3680,3754,3910,3211,3630,4071,5224,5425,4943,6594,5312,5744,5247,6074,6419,6456
EST,Estonia,,,,,,,,,,,,,11258,11310,11796,12605,14495,15293,15451,17393,18837,20437,22391,24550,27717,31331,34610,33487,28872,29995,32895,34642,36433,38300,38669,41545,44709,47776,51059,50162
SWZ,Eswatini,1183,1274,1317,1398,1470,1779,2005,2233,2539,2894,3044,3214,3392,3548,3797,4015,4211,4370,4563,4748,4903,5199,5501,5853,6398,6986,7492,7701,7881,8275,8638,8922,9465,9633,9728,9698,9457,9914,10318,10094
ETH,Ethiopia,11502,12330,13818,13986,12782,14303,16690,17378,17977,19134,18354,17100,19844,20975,22725,26273,27485,26631,28716,32246,35392,36527,36424,41781,48511,55727,63976,72525,80386,89943,102289,112533,122434,148487,167119,194652,215094,237224,263280,282612
FJI,Fiji,1985,2084,2075,2367,2350,2555,2430,2603,3080,3381,3401,3691,3876,4161,4359,4652,4618,4731,5217,5243,5460,5723,5876,6360,6473,6796,6916,7121,7075,7372,7729,8283,8942,9832,10782,11020,11784,12527,12693,10406
FIN,Finland,50549,55329,59291,63405,67724,70971,75314,82033,89586,93135,90618,89629,91146,96782,102978,108709,117588,125401,132783,143589,150567,155560,161623,172600,182924,196050,211985,217802,201743,210596,220471,221286,225680,228059,232930,246904,262075,271888,280263,275454
FRA,France,640192,696778,733051,770999,808292,843837,886860,961684,1042800,1113460,1163190,1208720,1229580,1285450,1340050,1383870,1440630,1509120,1583290,1682200,1753190,1801150,1849700,1953250,2047580,2161220,2273090,2323210,2273660,2345000,2446480,2474010,2608520,2662030,2719220,2863820,2997300,3126500,3229660,2999730
GAB,Gabon,6975,7710,8172,8882,9694,9681,8393,8993,10788,11768,12910,12797,13617,14424,15459,16313,17547,18361,16961,17013,17760,18075,18724,19443,19891,20102,21949,22764,22414,24097,26345,26868,27464,28956,28630,28685,30987,31998,33853,33661
GMB,The Gambia,718,920,1086,1039,1111,1160,1222,1287,1395,1530,1616,1682,1788,1764,1861,1950,2012,2167,2338,2523,2726,2680,2917,3207,3229,3308,3500,3792,4075,4366,4095,4191,4166,4103,4311,4446,4589,5039,5439,5505
GEO,Georgia,,,,,,,,,,,,,,8435,8836,9942,11178,11655,12162,12663,13562,14531,16437,17858,20180,22749,26299,27459,26658,28654,31405,36640,39451,43054,45036,47930,50663,54392,58134,55250
DEU,Germany,938282,988404,1043080,1111260,1171540,1224020,1272720,1366830,1476000,1618880,1757500,1832060,1857150,1942310,2013590,2067180,2140370,2208200,2282350,2401120,2495170,2529560,2558420,2658400,2761110,2953150,3122910,3214200,3054230,3219130,3415020,3487230,3628560,3807120,3890130,4164750,4401870,4564720,4672010,4496780
